iter	Passed	Remaining
402	11304	16746
403	11332	16718
404	11358	16687
405	11386	16658
406	11411	16627
407	11440	16599
408	11471	16575
409	11505	16556
410	11536	16532
411	11560	16498
412	11586	16467
413	11612	16437
414	11637	16404
415	11665	16377
416	11692	16347
417	11717	16315
418	11745	16286
419	11772	16257
420	11802	16232
421	11830	16203
422	11857	16175
423	11884	16144
424	11909	16113
425	11936	16083
426	11960	16050
427	11986	16019
428	12012	15988
429	12038	15957
430	12063	15926
431	12090	15896
432	12114	15863
433	12138	15830
434	12166	15802
435	12191	15771
436	12218	15741
437	12243	15709
438	12267	15676
439	12300	15655
440	12329	15627
441	12354	15597
442	12381	15567
443	12408	15538
444	12436	15510
445	12461	15479
446	12489	15451
447	12521	15428
448	12558	15410
449	12597	15396
450	12627	15371
451	12656	15345
452	12688	15321
453	12718	15296
454	12757	15281
455	12790	15258
456	12821	15233
457	12845	15201
458	12873	15173
459	12898	15142
460	12926	15113
461	12952	15083
462	12980	15054
463	13006	15024
464	13032	14994
465	13060	14966
466	13087	14936
467	13114	14907
468	13141	14878
469	13173	14855
470	13198	14824
471	13224	14793
472	13253	14766
473	13278	14735
474	13301	14701
475	13327	14671
476	13357	14645
477	13385	14617
478	13411	14586
479	13437	14557
480	13464	14528
481	13490	14498
482	13518	14470
483	13544	14440
484	13573	14412
485	13601	14384
486	13626	14353
487	13651	14322
488	13682	14298
489	13715	14275
490	13745	14248
491	13775	14223
492	13806	14198
493	13833	14170
494	13865	14145
495	13892	14116
496	13922	14090
497	13952	14064
498	13979	14035
499	14006	14006
500	14031	13975
501	14059	13947
502	14086	13918
503	14112	13888
504	14139	13859
505	14161	13825
506	14189	13797
507	14216	13769
508	14241	13737
509	14269	13709
510	14295	13679
511	14319	13648
512	14347	13620
513	14371	13588
514	14395	13557
515	14422	13527
516	14446	13496
517	14472	13466
518	14496	13435
519	14520	13403
520	14543	13370
521	14570	13342
522	14597	13313
523	14623	13284
524	14647	13252
525	14673	13223
526	14699	13193
527	14725	13163
528	14748	13131
529	14777	13104
530	14808	13079
531	14836	13051
532	14862	13022
533	14888	12992
534	14914	12963
535	14941	12934
536	14967	12904
537	14996	12877
538	15025	12851
539	15052	12822
540	15080	12794
541	15111	12769
542	15156	12755
543	15196	12737
544	15227	12713
545	15257	12686
546	15289	12662
547	15322	12638
548	15355	12614
549	15388	12590
550	15422	12567
551	15458	12546
552	15489	12520
553	15534	12506
554	15591	12501
555	15635	12485
556	15671	12463
557	15720	12452
558	15780	12449
559	15820	12430
560	15854	12406
561	15894	12387
562	15942	12374
563	16019	12383
564	16078	12378
565	16132	12370
566	16170	12348
567	16210	12328
568	16239	12300
569	16276	12278
570	16309	12253
571	16344	12229
572	16371	12200
573	16412	12180
574	16445	12155
575	16474	12127
576	16505	12100
577	16535	12072
578	16562	12042
579	16589	12012
580	16614	11982
581	16640	11951
582	16667	11921
583	16691	11890
584	16716	11858
585	16742	11828
586	16771	11800
587	16798	11770
588	16825	11740
589	16849	11708
590	16873	11677
591	16900	11647
592	16926	11617
593	16951	11586
594	16976	11555
595	17002	11524
596	17026	11493
597	17054	11464
598	17082	11435
599	17106	11404
600	17130	11373
601	17155	11342
602	17183	11313
603	17209	11282
604	17237	11254
605	17263	11224
606	17287	11192
607	17314	11163
608	17343	11135
609	17372	11106
610	17398	11076
611	17424	11047
612	17452	11017
613	17475	10986
614	17500	10955
615	17528	10927
616	17557	10898
617	17583	10868
618	17612	10840
619	17636	10809
620	17660	10778
621	17686	10748
622	17713	10718
623	17739	10689
624	17765	10659
625	17788	10627
626	17815	10598
627	17841	10568
628	17865	10537
629	17891	10507
630	17918	10478
631	17945	10449
632	17972	10419
633	17998	10390
634	18024	10360
635	18053	10332
636	18078	10301
637	18101	10270
638	18128	10241
639	18152	10210
640	18178	10181
641	18205	10152
642	18230	10121
643	18257	10092
644	18288	10065
645	18319	10038
646	18346	10009
647	18376	9982
648	18402	9952
649	18430	9924
650	18456	9894
651	18482	9864
652	18509	9835
653	18532	9804
654	18558	9774
655	18594	9750
656	18629	9725
657	18663	9700
658	18696	9674
659	18728	9648
660	18757	9619
661	18786	9591
662	18814	9563
663	18845	9536
664	18874	9508
665	18904	9480
666	18934	9453
667	18964	9425
668	18990	9395
669	19020	9368
670	19049	9339
671	19074	9310
672	19103	9282
673	19131	9253
674	19154	9222
675	19185	9195
676	19213	9166
677	19242	9138
678	19272	9110
679	19298	9081
680	19324	9051
681	19350	9022
682	19379	8994
683	19402	8963
684	19426	8933
685	19451	8903
686	19476	8873
687	19501	8843
688	19528	8814
689	19552	8784
690	19574	8753
691	19596	8721
692	19622	8692
693	19647	8663
694	19674	8634
695	19702	8605
696	19727	8575
697	19751	8545
698	19778	8516
699	19804	8487
700	19829	8458
701	19855	8428
702	19881	8399
703	19905	8369
704	19932	8340
705	19979	8319
706	20002	8289
707	20027	8259
708	20049	8229
709	20075	8199
710	20102	8170
711	20129	8142
712	20157	8113
713	20183	8084
714	20208	8055
715	20233	8025
716	20257	7995
717	20281	7965
718	20307	7936
719	20335	7908
720	20360	7878
721	20386	7849
722	20416	7822
723	20460	7800
724	20491	7772
725	20518	7743
726	20549	7716
727	20574	7687
728	20599	7657
729	20621	7627
730	20645	7597
731	20667	7566
732	20690	7536
733	20712	7506
734	20734	7475
735	20757	7445
736	20780	7415
737	20801	7384
738	20825	7355
739	20848	7325
740	20870	7294
741	20894	7265
742	20916	7234
743	20937	7204
744	20959	7174
745	20982	7144
746	21007	7115
747	21032	7085
748	21054	7055
749	21078	7026
750	21104	6997
751	21127	6967
752	21150	6937
753	21174	6908
754	21201	6879
755	21225	6850
756	21248	6820
757	21272	6791
758	21297	6762
759	21322	6733
760	21346	6704
761	21369	6674
762	21392	6644
763	21415	6615
764	21439	6586
765	21464	6556
766	21488	6527
767	21511	6498
768	21535	6469
769	21559	6439
770	21582	6410
771	21609	6382
772	21630	6352
773	21655	6323
774	21678	6293
775	21702	6264
776	21727	6235
777	21750	6206
778	21773	6177
779	21796	6147
780	21820	6118
781	21845	6089
782	21869	6060
783	21892	6031
784	21916	6002
785	21938	5973
786	21960	5943
787	21983	5914
788	22016	5887
789	22037	5858
790	22060	5828
791	22087	5800
792	22111	5771
793	22137	5743
794	22161	5714
795	22184	5685
796	22209	5656
797	22233	5627
798	22256	5598
799	22277	5569
800	22301	5540
801	22325	5511
802	22347	5482
803	22370	5453
804	22393	5424
805	22418	5396
806	22444	5367
807	22471	5339
808	22497	5311
809	22521	5282
810	22546	5254
811	22570	5225
812	22592	5196
813	22619	5168
814	22649	5141
815	22677	5113
816	22704	5085
817	22729	5057
818	22752	5028
819	22775	4999
820	22798	4970
821	22823	4942
822	22847	4913
823	22869	4884
824	22893	4856
825	22914	4827
826	22951	4801
827	22987	4775
828	23018	4748
829	23047	4720
830	23078	4693
831	23106	4665
832	23132	4637
833	23161	4610
834	23189	4582
835	23217	4554
836	23245	4526
837	23271	4498
838	23297	4470
839	23323	4442
840	23348	4414
841	23373	4385
842	23398	4357
843	23423	4329
844	23448	4301
845	23473	4272
846	23498	4244
847	23522	4216
848	23545	4187
849	23569	4159
850	23593	4130
851	23618	4102
852	23644	4074
853	23672	4046
854	23700	4019
